0.089926,-0.535420,-0.381488,0.208065,-0.518312,-0.196480,-0.248837,1.024538,0.100102,0.326346
-0.183044,1.582179,0.375852,0.397752,1.375788,-0.323047,-0.495479,-1.325749,-0.596287,0.007441
0.060124,-0.559108,-0.621426,-0.313423,-0.500158,0.446251,0.289302,0.789789,0.184548,-0.167639
-0.320304,0.809951,1.957128,-0.356722,1.547669,-0.040277,0.379269,-3.444355,0.115363,-0.602865
-4.336324,-5.028848,-0.314991,-3.294895,3.903702,1.469479,-0.134639,2.025169,0.760913,1.808690
2.758502,1.765837,1.148450,1.591738,7.108156,-8.649732,5.256421,2.621223,3.320020,-2.232917
1.067169,4.882887,-0.980054,3.919243,-5.292576,2.149559,-3.800791,-3.274080,3.530641,-4.959211
2.755021,5.578904,-1.602262,-4.821977,-2.380020,1.132954,-1.201582,-5.560628,-0.080196,6.902633
3.983200,4.047308,2.832599,-1.564707,-1.178878,1.630834,7.273667,-1.908686,-8.185358,1.911347
-4.945752,-5.729174,1.551744,5.612028,-2.416950,5.808078,-1.017158,4.148877,-2.309961,-4.737727
