-7.267565,-2.296906,3.503680,-0.783113,6.118731,-6.311144,-1.277360,-1.975722,0.161928,0.131313,-7.562107,-0.627403,-1.611945
-0.188773,0.072253,-0.511601,1.945706,1.582919,0.494283,-1.892536,0.911073,-0.444411,0.050835,1.492644,-0.475669,0.405821
-4.787475,1.517304,-1.927852,2.799404,-5.455771,1.672463,-0.426861,1.274716,-7.145885,4.018184,0.944948,-6.460904,1.052244
-0.884420,-0.720628,0.175860,0.227099,-2.503498,0.122564,0.667499,-0.299455,1.036337,0.476219,-0.640433,1.657003,0.802370
-5.571334,-1.480687,-3.788654,4.018802,-4.258955,2.236443,-4.997438,1.425238,0.840892,1.294911,2.144965,2.040203,1.167589
1.486873,1.524307,-1.550761,-0.008807,-0.636788,0.954253,0.168618,-0.010222,0.006311,0.823672,-0.616231,-1.935474,0.651050
-8.851204,1.484962,-0.775605,-2.010412,-0.112589,0.093958,1.208690,1.290561,0.996037,0.721148,0.027082,-0.822964,1.540398
-1.861286,2.414067,-4.019635,-1.161739,-2.524663,3.363104,-2.171889,-0.077577,-0.870908,-1.608635,-0.204418,-0.503526,-0.372824
-4.088089,-2.713203,3.379980,-4.676475,-0.860253,-7.025189,2.834590,0.069382,-9.843872,-1.376663,-2.388011,-4.706410,0.384284
1.459017,-0.365412,2.089925,-1.257993,2.032768,-0.892141,1.457915,-1.110885,-0.987562,-2.076272,-0.144532,0.316984,-2.179276
